job_id,nganh_nghe
35BB8C26,Kế toán / Kiểm toán
35BB8C26,Ngân hàng
35BB8C26,Nhà hàng / Khách sạn
35BB8C1A,Mỹ thuật / Nghệ thuật / Thiết kế
35BB8C17,Bán lẻ / Bán sỉ
35BB8C17,Bán hàng / Kinh doanh
35BB8C17,Cơ khí / Ô tô / Tự động hóa
35BB8C1B,Quảng cáo / Đối ngoại / Truyền Thông
35BB8C1B,Tổ chức sự kiện
35BB8C21,Quảng cáo / Đối ngoại / Truyền Thông
35BB8C21,Tổ chức sự kiện
35BB8C1D,Quảng cáo / Đối ngoại / Truyền Thông
35BB8C1D,Tổ chức sự kiện
35BB8C1F,Nhân sự
35BB8C20,Bán hàng / Kinh doanh
35BB8C20,Vận chuyển / Giao nhận /  Kho vận
35BB8C20,Xuất nhập khẩu
35BB8C22,Bán hàng / Kinh doanh
35BB8C22,Điện / Điện tử / Điện lạnh
35BB8C22,Hóa học
35BB8C1C,Kế toán / Kiểm toán
35BB8C1C,Tài chính / Đầu tư
35BB8C24,Quảng cáo / Đối ngoại / Truyền Thông
35BB8C24,Tổ chức sự kiện
35BB8C25,Kế toán / Kiểm toán
35BB8C25,Ngân hàng
35BB8C25,Mới tốt nghiệp / Thực tập
35BB63C0,Hành chính / Thư ký
35BB63C0,Nhân sự
35BB8C23,Vận chuyển / Giao nhận /  Kho vận
35BB8C23,Xuất nhập khẩu
35BB8C23,Thu mua / Vật tư
35BB8C0B,Tiếp thị / Marketing
35BB8C0B,Bán hàng / Kinh doanh
35BB8C0B,Xuất nhập khẩu
35BB8B11,Bán hàng / Kinh doanh
35BB8B11,Tư vấn
35BB8B11,Dịch vụ khách hàng
35BB8C12,Giáo dục / Đào tạo
35BB8C15,Bán lẻ / Bán sỉ
35BB8C15,Bán hàng / Kinh doanh
35BB8C14,Kế toán / Kiểm toán
35BB8C14,Tài chính / Đầu tư
35BB8C16,An toàn lao động
35BB8C16,Y tế / Chăm sóc sức khỏe
35BB8BF9,Cơ khí / Ô tô / Tự động hóa
35BB8BF9,Hóa học
35BB8BF9,Môi trường
35BB8BFB,Điện / Điện tử / Điện lạnh
35BB8BFB,Mỹ thuật / Nghệ thuật / Thiết kế
35BB8BFB,Ngành khác
35BB8C07,Tiếp thị / Marketing
35BB8C07,Tiếp thị trực tuyến
35BB8C07,Y tế / Chăm sóc sức khỏe
35BB8BFA,Điện / Điện tử / Điện lạnh
35BB8BFA,Xây dựng
35BB8BFA,Bất động sản
35BB8BFC,Kiến trúc
35BB8BFC,Xây dựng
35BB8BFC,Ngành khác
35BB8BFF,Hành chính / Thư ký
35BB8BFF,Tổ chức sự kiện
35BB8BFD,Bán lẻ / Bán sỉ
35BB8BFD,Hàng gia dụng / Chăm sóc cá nhân
35BB8BFD,Thực phẩm & Đồ uống
35BB8BF4,Cơ khí / Ô tô / Tự động hóa
35BB8BF4,Hóa học
35BB8BF4,Xây dựng
35BB8B6E,Kiến trúc
35BB8B6E,Xây dựng
35BB8BF8,Dịch vụ khách hàng
35BB8BF8,Vận chuyển / Giao nhận /  Kho vận
35BB8BF8,Mới tốt nghiệp / Thực tập
35BB8961,Quảng cáo / Đối ngoại / Truyền Thông
35BB8C00,Bán lẻ / Bán sỉ
35BB8C00,Kế toán / Kiểm toán
35BB8C00,Tài chính / Đầu tư
35BB8BF2,Kiến trúc
35BB8BF2,Xây dựng
35BB8BF2,Ngành khác
35BB8BF6,Tổ chức sự kiện
35BB894F,Quảng cáo / Đối ngoại / Truyền Thông
35BB8BF5,Bán lẻ / Bán sỉ
35BB8BF5,Bán hàng / Kinh doanh
35BB8BF5,In ấn / Xuất bản
35BB8C02,Ngân hàng
35BB8C02,Quản lý chất lượng (QA/QC)
35BB8C04,Bán lẻ / Bán sỉ
35BB8C04,Bán hàng / Kinh doanh
35BB8C04,Kế toán / Kiểm toán
35BB8C06,Tiếp thị / Marketing
35BB8C06,Thực phẩm & Đồ uống
35BB8C06,Quản lý điều hành
35BB8BD0,Dịch vụ khách hàng
35BB8BD0,Nhà hàng / Khách sạn
35BB8BD0,Tổ chức sự kiện
35BB8BB7,Vận chuyển / Giao nhận /  Kho vận
35BB8BB7,Hàng gia dụng / Chăm sóc cá nhân
35BB8BB7,Quản lý chất lượng (QA/QC)
35BB8C03,Bán lẻ / Bán sỉ
35BB8C03,Bán hàng / Kinh doanh
35BB8C03,Hóa học
35BB8BA3,Thực phẩm & Đồ uống
35BB8BA3,Nhân sự
35BB8BA3,Hành chính / Thư ký
35BB8BC1,Tư vấn
35BB8BC1,Tài chính / Đầu tư
35BB8B90,Sản xuất / Vận hành sản xuất
35BB8B90,Đồ gỗ
35BB8B90,Nội ngoại thất
35BB8B5F,Dệt may / Da giày / Thời trang
35BB8B5F,Ngành khác
35BB8BC2,Sản xuất / Vận hành sản xuất
35BB8BC2,Đồ gỗ
35BB8BC2,Nội ngoại thất
35BB8BC7,Sản xuất / Vận hành sản xuất
35BB8BC7,Thu mua / Vật tư
35BB8BC7,Vận chuyển / Giao nhận /  Kho vận
35BB8BC0,Hàng gia dụng / Chăm sóc cá nhân
35BB8BC0,Kế toán / Kiểm toán
35BB8BC0,Sản xuất / Vận hành sản xuất
35BB8BC3,Công nghệ thực phẩm / Dinh dưỡng
35BB8BC3,Công nghệ sinh học
35BB8BC3,Hóa học
35BB8BC9,Hành chính / Thư ký
35BB8BC9,Tài chính / Đầu tư
35BB8BC4,Cơ khí / Ô tô / Tự động hóa
35BB8BC4,Mới tốt nghiệp / Thực tập
35BB8BC4,Sản xuất / Vận hành sản xuất
35BB8BC8,Bảo hiểm
35BB8BC8,Bán hàng / Kinh doanh
35BB8BC8,Bán lẻ / Bán sỉ
35BB8BC6,Tiếp thị / Marketing
35BB8BC6,Bán hàng / Kinh doanh
35BB8BC6,Quảng cáo / Đối ngoại / Truyền Thông
35BB8BC5,Bán lẻ / Bán sỉ
35BB8BC5,Bán hàng / Kinh doanh
35BB8BC5,Dệt may / Da giày / Thời trang
35BB8BCB,Nông nghiệp
35BB8BCA,Ngành khác
35BB8BCA,Nông nghiệp
35BB8BCC,Hành chính / Thư ký
35BB8BCC,Nhân sự
35BB8BCD,Nông nghiệp
35BB8BCD,Thu mua / Vật tư
35BB8BCD,Vận chuyển / Giao nhận /  Kho vận
35BB8B82,Bán lẻ / Bán sỉ
35BB8B82,Kế toán / Kiểm toán
35BB8B82,Đồ gỗ
35BB8BCF,Nông nghiệp
35BB8BCF,Quản lý điều hành
35BB8BCF,Vận chuyển / Giao nhận /  Kho vận
35BB8B88,Hành chính / Thư ký
35BB8B88,Nhân sự
35BB8376,Bán hàng / Kinh doanh
35BB8376,Vận chuyển / Giao nhận /  Kho vận
35BB8376,Xuất nhập khẩu
35BB8B86,Tiếp thị / Marketing
35BB8B86,Tiếp thị trực tuyến
35BB8B86,Bán lẻ / Bán sỉ
35BB8B89,Luật / Pháp lý
35BB8B89,Hành chính / Thư ký
35BB8B89,Nhân sự
35BB8B8C,Cơ khí / Ô tô / Tự động hóa
35BB8B8C,Điện / Điện tử / Điện lạnh
35BB8B8C,Bảo trì / Sửa chữa
35BB8B8F,Tiếp thị / Marketing
35BB8B8F,Cơ khí / Ô tô / Tự động hóa
35BB8B8F,Bảo trì / Sửa chữa
35BB8B8A,Unknown
35BB8B32,Kế toán / Kiểm toán
35BB8B32,Ngân hàng
35BB8B32,Tài chính / Đầu tư
35BB8B95,Bất động sản
35BB8B95,Ngân hàng
35BB8B95,Tài chính / Đầu tư
35BB8B96,Unknown
35BB664B,Cơ khí / Ô tô / Tự động hóa
35BB664B,Sản xuất / Vận hành sản xuất
35BB8B94,Tiếp thị / Marketing
35BB8B94,Bán hàng / Kinh doanh
35BB8B8E,Xây dựng
35BB8B8E,Bất động sản
35BB8B87,Luật / Pháp lý
35BB8B87,Ngân hàng
35BB8B87,Tài chính / Đầu tư
35BB8B4B,In ấn / Xuất bản
35BB8B92,Bán hàng / Kinh doanh
35BB8B92,Quản lý điều hành
35BB8B4C,Cơ khí / Ô tô / Tự động hóa
35BB8B4C,Điện / Điện tử / Điện lạnh
35BB8B4C,Bảo trì / Sửa chữa
35BB8B4A,Kế toán / Kiểm toán
35BB8B4A,Tài chính / Đầu tư
35BB8B4A,Ngân hàng
35BB8B45,Bán lẻ / Bán sỉ
35BB8B45,Bán hàng / Kinh doanh
35BB8B45,Nông nghiệp
35BB8B4E,Bán hàng / Kinh doanh
35BB8B4D,Bán hàng / Kinh doanh
35BB8B4D,Ngân hàng
35BB8B4D,Tài chính / Đầu tư
35BB8B4F,Giáo dục / Đào tạo
35BB8B33,Cơ khí / Ô tô / Tự động hóa
35BB8B33,Sản xuất / Vận hành sản xuất
35BB8B33,Ngành khác
35BB8B54,Bán hàng / Kinh doanh
35BB8B54,Dược phẩm
35BB8B54,Y tế / Chăm sóc sức khỏe
35BB8B52,Vận chuyển / Giao nhận /  Kho vận
35BB8B52,Xuất nhập khẩu
35BB8B52,Đồ gỗ
35BB8B53,Tiếp thị / Marketing
35BB8B53,Truyền hình / Báo chí / Biên tập
35BB8B53,Quảng cáo / Đối ngoại / Truyền Thông
35BB8B5B,Mỹ thuật / Nghệ thuật / Thiết kế
35BB8B5B,Quảng cáo / Đối ngoại / Truyền Thông
35BB8B5B,Ngân hàng
35BB8B59,Bán hàng / Kinh doanh
35BB8B59,Tiếp thị trực tuyến
35BB8B59,Vận chuyển / Giao nhận /  Kho vận
35BB8B5C,CNTT - Phần cứng / Mạng
35BB8B5C,CNTT - Phần mềm
35BB8B5D,Bán hàng / Kinh doanh
35BB8B5D,Vận chuyển / Giao nhận /  Kho vận
35BB8B5D,Xuất nhập khẩu
35BB8AF2,Bán hàng / Kinh doanh
35BB8AF2,Dịch vụ khách hàng
35BB8AF2,Bất động sản
35BB8B60,Biên phiên dịch
35BB8B60,Sản xuất / Vận hành sản xuất
35BB8B60,Mới tốt nghiệp / Thực tập
35BB8B0E,Giáo dục / Đào tạo
35BB8B0E,CNTT - Phần mềm
35BB8B0E,CNTT - Phần cứng / Mạng
35BB8B56,Bán hàng / Kinh doanh
35BB8B56,Vận chuyển / Giao nhận /  Kho vận
35BB8B56,Xuất nhập khẩu
35BB8B0C,Tư vấn
35BB8B0C,Giáo dục / Đào tạo
35BB8B0C,Dịch vụ khách hàng
35BB20C4,CNTT - Phần mềm
35BB8B14,Bất động sản
35BB8B14,Bán hàng / Kinh doanh
35BB8B14,Ngân hàng
35BB8B12,Bán hàng / Kinh doanh
35BB8B12,Bán lẻ / Bán sỉ
35BB8B12,Dịch vụ khách hàng
35BB8B13,Kế toán / Kiểm toán
35BB8B13,Ngân hàng
35BB8B13,Tài chính / Đầu tư
35BB8A49,Tư vấn
35BB8A49,Giáo dục / Đào tạo
35BB8A49,CNTT - Phần mềm
35BB8B18,Công nghệ sinh học
35BB8B18,Hóa học
35BB8B18,Ngành khác
35BB8B17,Bất động sản
35BB8B17,Bán hàng / Kinh doanh
35BB8B17,Ngân hàng
35BB8B0F,Giáo dục / Đào tạo
35BB8B0F,CNTT - Phần cứng / Mạng
35BB8B0F,CNTT - Phần mềm
35BB8B21,Mỹ thuật / Nghệ thuật / Thiết kế
35BB8B21,Mới tốt nghiệp / Thực tập
35BB8B21,Quảng cáo / Đối ngoại / Truyền Thông
35BB8B1E,Mỹ thuật / Nghệ thuật / Thiết kế
35BB8B1E,Mới tốt nghiệp / Thực tập
35BB8B1E,Quảng cáo / Đối ngoại / Truyền Thông
35BB8B1A,Cơ khí / Ô tô / Tự động hóa
35BB8B1A,Sản xuất / Vận hành sản xuất
35BB8B1A,Quản lý chất lượng (QA/QC)
35BB8B1C,Giáo dục / Đào tạo
35BB8B1C,CNTT - Phần mềm
35BB89A7,Tiếp thị / Marketing
35BB89A7,Quảng cáo / Đối ngoại / Truyền Thông
35BB89A7,Mỹ thuật / Nghệ thuật / Thiết kế
35BB8AE4,Bán hàng / Kinh doanh
35BB8AE4,Kế toán / Kiểm toán
35BB8AE4,Cơ khí / Ô tô / Tự động hóa
35BB8AE7,Tiếp thị / Marketing
35BB8AE7,Quảng cáo / Đối ngoại / Truyền Thông
35BB8AE7,Mới tốt nghiệp / Thực tập
35BB89A1,Tiếp thị / Marketing
35BB89A1,Truyền hình / Báo chí / Biên tập
35BB89A1,Quảng cáo / Đối ngoại / Truyền Thông
35BB89A2,Kế toán / Kiểm toán
35BB89A2,Tài chính / Đầu tư
35BB89A2,Hành chính / Thư ký
35BB89A6,Tiếp thị / Marketing
35BB89A6,Bán hàng / Kinh doanh
35BB89A6,Quản lý điều hành
35BB89A0,Tiếp thị / Marketing
35BB89A0,Truyền hình / Báo chí / Biên tập
35BB89A0,Quảng cáo / Đối ngoại / Truyền Thông
35BB8ADE,Nhân sự
35BB8ADE,Nhà hàng / Khách sạn
35BB8ADE,Mới tốt nghiệp / Thực tập
35BB8AD0,Thực phẩm & Đồ uống
35BB8AD0,Nhà hàng / Khách sạn
35BB8AE6,Kiến trúc
35BB8AE2,Điện / Điện tử / Điện lạnh
35BB8AE2,Xây dựng
35BB8AE2,Thực phẩm & Đồ uống
35BB8A30,Mỹ thuật / Nghệ thuật / Thiết kế
35BB8A30,Quảng cáo / Đối ngoại / Truyền Thông
35BB8A30,Dệt may / Da giày / Thời trang
35BB8A37,Tiếp thị / Marketing
35BB8A37,Tiếp thị trực tuyến
35BB8A37,Quảng cáo / Đối ngoại / Truyền Thông
35BB8AA1,Bảo hiểm
35BB8AA1,Ngân hàng
35BB8AA1,Tài chính / Đầu tư
35BB8A9E,Bảo hiểm
35BB8A9E,Bất động sản
35BB8A9E,Quản lý điều hành
35BB8A9F,Bảo hiểm
35BB8A9F,Bán hàng / Kinh doanh
35BB8A9F,Ngân hàng
35BB8A91,Kế toán / Kiểm toán
35BB8A91,Tài chính / Đầu tư
35BB8AA3,Xuất nhập khẩu
35BB8AA3,Xây dựng
35BB8AA8,Bán lẻ / Bán sỉ
35BB8AA8,Dịch vụ khách hàng
35BB8AA8,Dệt may / Da giày / Thời trang
35BB8AA5,Tư vấn
35BB8AA5,Luật / Pháp lý
35BB8AA5,Biên phiên dịch
35BB8AA9,Dịch vụ khách hàng
35BB8AA9,Tài chính / Đầu tư
35BB8AA9,Ngân hàng
35BB853F,Thực phẩm & Đồ uống
35BB853F,Nhân sự
35BB853F,Quản lý điều hành
35BB8AA2,Dịch vụ khách hàng
35BB8AA2,An Ninh / Bảo Vệ
35BB8AA2,Quản lý điều hành
35BB8AAB,Tiếp thị / Marketing
35BB8AAB,Truyền hình / Báo chí / Biên tập
35BB8AAB,Quảng cáo / Đối ngoại / Truyền Thông
35BB8A8E,Tiếp thị / Marketing
35BB8A8E,Bán lẻ / Bán sỉ
35BB8A8E,Bán hàng / Kinh doanh
35BB8AA6,Sản xuất / Vận hành sản xuất
35BB8AA6,Bảo trì / Sửa chữa
35BB8AA6,Chăn nuôi / Thú y
